Results of parsing:
ID	nyskol	SK1X	%	SK2X	%	SK3X	%	SK4X	%	SK5X	%	SK6X	%	SK7X	%	SK10X	%	
1	171	4	21.05	3	15.79	0	0	1	5.26	0	0	5	26.32	2	10.53	1	5.26	
2	171	0	0	0	0	4	21.05	0	0	0	0	0	0	0	0	3	15.79	
3	171	1	5.26	0	0	1	5.26	7	36.84	0	0	0	0	1	5.26	0	0	
4	171	2	10.53	0	0	0	0	0	0	1	5.26	0	0	0	0	0	0	
5	171	3	15.79	0	0	6	31.58	1	5.26	6	31.58	0	0	0	0	5	26.32	
6	171	0	0	3	15.79	0	0	0	0	0	0	3	15.79	4	21.05	0	0	
7	171	2	10.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	171	3	15.79	0	0	10	52.63	0	0	7	36.84	0	0	0	0	9	47.37	
10	171	1	5.26	0	0	0	0	3	15.79	0	0	0	0	3	15.79	0	0	
11	171	0	0	0	0	0	0	0	0	0	0	3	15.79	0	0	1	5.26	
12	171	0	0	0	0	1	5.26	1	5.26	0	0	2	10.53	0	0	1	5.26	
13	171	0	0	3	15.79	0	0	5	26.32	0	0	4	21.05	0	0	1	5.26	
14	171	1	5.26	1	5.26	1	5.26	0	0	0	0	0	0	4	21.05	0	0	
15	171	1	5.26	1	5.26	0	0	4	21.05	1	5.26	3	15.79	0	0	1	5.26	
16	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10.53	
17	171	0	0	3	15.79	0	0	2	10.53	0	0	0	0	0	0	0	0	
18	171	3	15.79	2	10.53	0	0	0	0	0	0	0	0	2	10.53	0	0	
19	171	2	10.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	171	3	15.79	1	5.26	0	0	0	0	0	0	0	0	2	10.53	0	0	
21	172	0	0	3	18.75	0	0	0	0	0	0	1	6.25	4	25.00	0	0	
